QuestionBodyAnswerMatch,QuestionTitleAnswerMatch,QuestionUserTagMatch,QuestionBodyKeyWords,QuestionTitleKeyWords,NumQuestionTags,AnswerKeyWords,NumUserTags,QuestionCommentCount,QuestionScore,AnswerCommentCount,NumberOfBadges,NumberOfCommentsMade,NumberOfAnswers,CodedAnswers,Reputation,UpVotes,DownVotes,ProfileViews,HasWebsite,UsefulOrAccepted
281,7,3518,1166,9,4,306,8823,0,1,1,268,10558,3600,3559,105199,1065,688,5999,1,1
460,146,13,1078,15,5,578,14,0,0,1,13,7,5,3,366,11,0,58,0,1
56,0,17,441,5,5,105,23,0,0,3,13,6,8,3,596,28,2,51,0,1
374,4,5,1105,10,1,396,21,4,0,12,13,20,9,9,169,5,0,23,0,1
141,3,14,362,6,4,176,27,0,2,6,13,46,16,13,256,5,1,40,0,1
39,2,39,46,11,3,47,159,0,4,1,10,60,78,75,1531,83,3,465,0,1
107,1,3,223,3,3,317,19,0,3,1,13,26,10,7,146,23,0,44,1,1
58,0,1,90,3,1,88,8,0,3,2,13,9,7,5,163,120,6,140,1,1
252,4,11,166,7,5,436,31,0,3,1,13,6,10,10,436,361,4,8,0,1
13,4,11,452,7,4,17,28,4,0,0,13,3,15,11,349,33,6,29,0,1
75,8,19,291,5,1,94,43,0,1,0,13,7,19,16,1136,65,1,66,0,1
90,29,4,81,8,4,205,15,0,1,0,13,19,19,19,380,219,1,29,1,1
32,6,486,29,4,2,158,2069,3,3,3,268,1197,739,607,65162,519,13,3907,0,1
147,7,13,223,8,3,191,28,2,13,0,13,11,12,12,478,128,1,24,1,1
107,6,4,121,6,2,185,5,2,6,2,13,4,2,1,257,8,1,12,1,1
26,2,3,170,10,2,47,8,0,13,3,13,9,4,4,357,51,0,28,1,1
42,1,2,151,4,2,53,8,6,30,3,13,7,5,5,773,21,0,17,0,1
26,1,25,219,10,2,64,399,2,8,0,327,609,230,44,16849,1376,187,3197,0,0
40,3,110,141,8,4,100,636,0,0,0,70,1034,327,247,9865,1714,257,1272,0,0
67,4,15,292,8,4,81,56,0,1,0,11,6,41,41,421,71,0,63,0,0
67,2,0,261,6,3,103,2,1,0,0,2,1,3,1,9,0,0,2,0,0
96,18,165,213,9,5,166,536,5,2,0,91,3022,291,274,9809,1661,1777,2433,0,0
49,2,8,108,8,3,127,30,0,2,0,7,6,14,6,470,0,0,43,0,0
25,5,4,38,4,3,79,14,2,327,0,15,10,24,12,189,7,2,54,0,0
31,3,816,118,8,3,42,2644,1,1,0,227,1398,1109,759,50858,2984,457,2295,0,0
9,0,1,233,4,5,17,17,5,0,0,17,13,9,2,797,73,20,65,0,0
114,0,0,224,3,3,137,11,0,0,0,2,2,9,4,44,1,0,3,0,0
26,0,0,56,5,2,52,225,1,5,0,130,153,100,24,9962,1334,83,725,0,0
46,0,4,320,4,2,63,37,1,2,0,22,55,33,29,653,53,6,175,0,0
14,3,26,32,8,2,34,84,9,12,0,57,161,58,39,1990,223,1,359,0,0
117,2,3,33,4,2,318,24,4,1269,0,25,78,39,36,652,18,0,110,0,0
35,2,220,16,6,3,110,1903,2,44,0,183,1657,973,366,35011,2020,69,8516,0,0
11,3,37,98,10,3,14,509,2,1,0,46,1238,400,285,4834,1039,623,716,0,0
33,0,0,82,9,4,79,2,9,0,1,4,1,7,6,13,0,0,4,0,0
16,2,1,138,9,3,24,8,1,0,1,2,3,7,5,52,0,0,19,0,0
50,0,11,49,8,2,61,192,7,1,1,33,249,168,115,2394,249,18,156,0,0
37,0,0,161,3,2,49,6,2,4,1,6,4,6,3,41,9,0,5,0,0
34,1,1,51,5,3,133,57,0,6,1,103,241,53,35,1528,227,7,533,0,0
9,0,1,70,7,2,19,69,4,1,1,63,143,67,56,3313,136,25,290,0,0
13,0,62,49,7,5,44,729,3,2,1,63,1288,554,293,7648,1427,3,1306,0,0
13,3,19,34,5,1,45,156,0,10,1,34,33,111,98,3255,28,0,246,0,0
67,0,0,371,6,3,84,8,2,3,1,6,7,13,5,70,23,0,12,0,0
145,6,0,67,6,2,243,40,3,34,1,20,54,27,22,710,41,0,108,0,0
35,0,50,119,5,3,48,128,0,1,1,95,3617,161,154,2664,1656,112,1765,0,0
40,0,3,270,7,5,50,33,4,16,1,17,21,24,14,1464,14,0,31,0,0
28,2,0,56,4,2,167,21,3,117,1,18,11,9,6,704,12,0,24,0,0
88,4,4,282,10,3,150,6,0,0,1,18,92,13,13,306,22,29,49,0,0
158,11,19,170,5,4,264,110,3,0,1,42,95,37,30,2045,130,9,2682,0,0
14,3,2,58,8,1,47,4,1,0,1,9,9,6,4,58,26,0,7,0,0
87,1,3,278,5,3,133,41,0,1,2,93,116,29,7,2409,197,4,276,0,0
42,3,98,251,7,3,78,490,0,0,2,48,626,456,353,6171,165,20,346,0,0
38,1,1,189,7,4,56,362,1,0,2,182,1152,367,339,7128,169,51,1789,0,0
41,0,23,91,7,5,55,63,5,1,2,11,70,91,73,343,73,21,143,0,0
30,9,19,85,12,4,141,261,0,5,2,69,80,135,49,9387,165,24,1047,0,0
113,2,39,80,5,3,275,127,0,0,2,30,183,84,69,1594,88,45,172,0,0
70,1,458,266,6,3,138,1235,2,0,2,54,4422,583,540,12493,1060,175,1514,0,0
41,5,17,175,6,2,57,76,1,13,2,19,140,51,43,697,215,26,110,0,0
26,2,0,251,10,2,46,3,2,48,2,5,5,5,4,7,0,0,10,0,0
63,0,5,410,9,3,97,21,2,0,2,15,17,13,12,286,26,2,41,0,0
22,3,0,82,5,1,44,46,5,0,2,10,127,32,22,499,19,2,48,0,0
19,0,11,200,8,2,31,118,3,0,2,21,110,69,55,1478,44,25,82,0,0
38,3,7,129,7,2,120,31,0,0,2,11,70,45,33,374,7,0,38,0,0
19,3,39,89,8,5,24,81,2,3,2,16,36,67,49,595,28,49,47,0,0
11,2,0,146,8,3,19,3,0,0,2,10,16,6,2,43,6,0,45,0,0
76,1,95,196,6,3,98,250,0,5,3,49,242,141,76,3193,289,24,493,0,0
19,1,0,192,5,5,29,37,10,3,3,26,176,60,52,397,35,13,158,0,0
72,1,11,167,5,4,80,65,0,2,3,34,26,33,23,1462,59,2,67,0,0
68,3,83,74,7,4,141,251,0,6,3,30,153,171,148,2536,161,16,149,0,0
114,1,0,183,4,2,167,1,0,0,3,6,5,4,3,31,16,0,10,0,0
109,6,22,247,5,3,120,174,1,1,3,30,457,144,132,1661,164,79,204,0,0
107,1,9,440,8,4,173,26,3,2,4,7,45,24,20,467,14,0,23,0,0
39,4,2,193,8,1,53,62,1,0,4,47,165,41,26,1349,132,4,116,0,0
161,3,28,237,11,4,172,92,4,1,5,35,320,93,88,1173,434,16,208,0,0
62,3,4,147,7,3,103,18,12,1,5,23,105,13,11,330,18,1,110,0,0
98,0,0,250,7,5,205,17,0,4,6,10,21,20,19,311,5,4,16,0,0
64,0,78,244,5,4,77,110,4,0,7,17,117,86,62,993,10,7,59,0,0
64,6,122,22,9,2,165,346,1,1,11,76,543,171,97,5645,149,76,889,0,0
65,0,174,37,4,3,222,442,1,1,0,139,354,227,202,24592,312,16,1307,1,0
92,0,0,352,9,3,135,43,2,0,0,44,116,18,15,1795,170,6,176,1,0
7,3,6,109,6,3,10,48,3,1,0,61,326,71,55,1097,38,9,239,1,0
17,0,5,298,6,3,30,12,3,1,0,17,21,8,6,136,8,0,53,1,0
258,61,5702,278,11,2,434,10579,1,3,0,229,7054,3953,3919,112153,8532,519,8475,1,0
112,8,16,110,4,3,184,82,2,73,0,73,231,60,52,13740,228,21,700,1,0
27,2,131,72,10,2,83,397,0,2,0,109,364,221,189,9459,467,6,1235,1,0
68,1,2,78,5,2,75,17,4,3,0,12,36,22,17,382,31,1,55,1,0
38,0,0,189,9,2,50,28,0,0,0,109,338,26,17,2204,154,5,320,1,0
33,0,0,67,6,3,44,23,0,1,0,15,37,26,17,669,6,1,37,1,0
56,2,556,96,4,2,76,2174,2,1,0,91,3663,1707,1620,25931,127,1180,2199,1,0
39,1,3,236,11,4,49,14,3,2,0,11,5,9,4,306,11,0,30,1,0
69,1,119,154,5,2,186,609,4,4,0,57,1489,473,234,5634,227,5,1354,1,0
60,2,46,241,8,5,89,138,7,3,0,151,479,115,32,3751,205,1,678,1,0
10,0,17,431,5,3,17,74,7,0,1,17,61,55,31,1008,50,12,107,1,0
21,1,167,1781,5,4,30,692,2,2,1,86,164,331,300,12865,380,26,471,1,0
78,0,39,271,9,5,98,93,3,2,1,14,83,110,110,873,20,23,517,1,0
169,3,38,138,3,4,188,127,0,2,1,51,148,113,102,2142,72,13,307,1,0
15,0,4,17,2,1,52,19,4,1,1,19,6,8,5,502,34,1,58,1,0
300,0,1687,205,7,3,343,5709,2,0,1,313,21743,3533,3310,83183,2566,2971,17677,1,0
195,5,354,91,7,2,339,2684,1,14,1,338,1042,1155,927,69585,682,100,3224,1,0
47,0,359,199,5,5,58,566,0,3,2,35,368,447,410,5263,563,78,528,1,0
26,1,4,539,4,4,40,29,1,2,2,25,52,25,17,696,44,11,58,1,0
8,1,5,31,4,3,12,15,0,6,2,76,194,17,7,1261,428,8,212,1,0
22,1,74,35,3,3,35,322,2,14,2,84,136,180,160,7053,1525,11,716,1,0
79,1,25,220,5,3,123,74,2,5,2,9,22,50,3,706,49,1,221,1,0
141,0,27,178,5,2,181,299,3,2,2,58,695,249,205,3491,374,168,566,1,0
22,0,100,28,5,1,29,1432,3,0,3,343,2861,883,616,40013,3126,2572,4310,1,0
15,0,2,39,4,5,42,45,0,12,3,51,179,32,30,863,374,1,284,1,0
15,7,1442,37,12,4,26,4969,0,4,3,498,4245,1934,1219,104107,2787,1086,5564,1,0
41,1,13,220,4,3,58,41,7,0,3,12,69,45,43,414,62,5,29,1,0
46,2,0,378,4,3,55,19,0,0,3,32,33,18,16,593,51,3,113,1,0
35,5,0,31,9,2,113,114,2,8,3,32,27,57,37,3070,16,0,240,1,0
31,5,2,58,8,2,71,47,3,0,3,10,15,35,14,693,36,5,180,1,0
22,0,36,28,4,4,54,243,1,63,4,59,82,138,94,5830,237,17,330,1,0
127,9,1,171,6,3,363,2600,1,1,5,308,3119,1128,885,58734,2380,651,6287,1,0
41,3,11,28,5,3,99,110,0,6,5,47,77,51,31,1962,176,1,171,1,0
66,1,4,467,6,3,83,34,2,0,6,41,89,29,24,1117,593,3,68,1,0
573,18,228,1603,5,3,856,873,10,2,6,109,478,460,417,16533,190,11,2324,1,0
46,0,48,129,4,2,65,106,2,1,9,57,211,115,108,2123,352,69,313,1,0
21,2,4,92,5,2,51,18,0,0,0,21,49,24,12,1222,43,0,199,0,1
91,12,13,85,10,4,138,42,0,1,0,21,20,25,16,768,32,0,81,0,1
20,0,3,112,4,3,25,20,0,0,0,21,36,27,17,440,22,3,35,0,1
40,7,9,33,7,3,168,38,1,0,0,21,60,28,25,695,117,10,45,0,1
64,1,26,194,7,3,81,76,2,0,0,21,54,39,37,742,15,2,59,0,1
139,2,12,372,4,1,177,63,3,1,13,21,48,39,8,928,196,7,123,0,1
105,5,5,314,6,4,196,50,1,12,0,21,54,41,8,1026,57,0,97,0,1
68,10,16,63,7,3,158,79,0,8,2,21,40,43,30,1119,152,5,55,0,1
76,1,21,245,12,4,85,87,2,3,2,21,81,44,42,846,10,9,74,0,1
153,4,23,168,9,3,253,88,1,1,1,21,144,51,48,826,52,9,102,0,1
138,7,83,416,9,3,172,164,1,1,0,21,163,60,59,2280,70,16,151,0,1
111,3,33,593,5,5,126,106,0,0,2,21,106,61,53,2129,9,8,99,0,1
35,3,37,97,9,4,95,99,1,0,1,21,72,63,43,796,22,3,51,0,1
179,0,3,430,2,2,200,55,2,6,0,21,34,64,60,833,79,3,47,0,1
32,0,1,58,4,1,76,98,4,182,3,21,29,70,43,1055,46,11,73,0,1
21,0,5,134,3,2,40,49,2,0,0,21,96,72,58,848,7,11,109,0,1
42,5,3,78,13,3,85,95,0,2,1,21,137,80,58,934,115,4,64,0,1
890,5,62,413,7,5,1254,175,0,0,1,21,87,103,78,1617,33,4,65,0,1
200,3,58,468,11,2,274,144,5,5,5,21,89,109,61,1280,22,15,102,0,1
34,9,120,158,14,3,67,236,7,8,5,21,368,192,98,2780,82,4,92,0,1
328,0,107,194,4,4,464,314,6,0,3,21,265,213,210,2325,13,0,219,0,1
51,3,0,44,6,2,331,2,4,2,0,13,18,1,1,103,4,0,10,0,1
235,7,0,244,7,3,357,3,2,6,3,13,7,2,1,43,422,0,37,0,1
57,2,0,105,4,3,79,3,2,11,0,13,15,3,3,146,11,0,27,0,1
25,4,6,280,5,5,55,7,0,1,0,13,25,3,1,53,0,0,25,0,1
12,0,0,151,5,3,31,3,4,1,0,13,40,3,0,81,1,0,39,0,1
48,1,5,115,6,3,85,11,2,0,0,13,27,4,4,218,2,0,32,0,1
89,52,5,582,20,4,107,5,2,4,0,13,16,4,4,317,8,0,24,0,1
28,1,0,196,12,3,63,3,0,0,0,13,18,5,3,56,45,0,19,0,1
60,10,5,23,7,3,202,11,1,115,1,13,2,6,4,923,86,0,30,0,1
16,0,3,728,2,2,38,13,4,2,0,13,32,7,4,116,32,0,20,0,1
33,1,5,218,4,2,43,12,1,0,0,13,15,7,5,302,253,1,27,0,1
168,3,8,661,8,3,235,17,3,16,5,13,23,7,6,374,23,0,37,0,1
11,0,3,21,6,3,33,18,2,83,0,13,3,9,5,509,0,0,19,0,1
48,4,6,19,4,5,185,51,1,9,0,21,96,23,15,412,211,44,84,1,1
26,2,9,30,5,3,68,33,12,24,2,21,28,23,4,695,365,18,234,1,1
98,3,25,175,6,4,121,65,0,1,0,21,21,26,20,585,499,5,17,1,1
39,0,16,390,5,3,53,81,1,1,0,21,53,36,27,1306,705,4,98,1,1
10,1,10,223,7,2,12,65,3,2,6,21,73,38,20,762,46,4,97,1,1
77,3,21,83,7,2,128,67,1,22,1,21,92,40,29,1428,68,4,120,1,1
64,0,33,392,3,2,68,84,4,2,1,21,14,51,45,863,33,23,149,1,1
120,3,27,217,2,3,161,103,9,1,0,21,49,51,33,1652,300,2,305,1,1
231,5,39,304,4,4,246,77,4,0,0,21,46,54,50,1056,21,68,136,1,1
59,3,1,28,3,1,101,71,2,295,1,21,90,57,47,609,28,18,72,1,1
42,2,13,219,7,2,68,82,4,0,0,21,107,71,41,743,142,2,44,1,1
88,4,44,700,3,3,162,121,0,1,3,21,49,75,45,1318,97,1,149,1,1
28,1,47,49,6,2,226,145,2,3,3,21,93,84,76,1413,32,6,938,1,1
109,1,22,415,7,1,116,146,1,0,0,21,257,105,103,1564,127,44,237,1,1
223,30,78,213,5,4,284,168,2,500,1,21,125,146,116,1921,7,41,302,1,1
129,2,478,150,2,2,259,1289,1,5,0,277,2010,532,507,45196,3131,195,4369,1,1
316,27,889,590,7,3,397,2080,3,1,4,268,406,769,506,50272,1005,0,4139,1,1
99,6,4227,271,6,5,122,8823,0,1,0,268,10558,3600,3559,105199,1065,688,5999,1,1
85,5,793,142,7,4,123,2138,1,1,0,268,3235,922,892,43550,4072,1055,3371,1,1
132,4,0,239,10,2,140,2,1,6,0,13,10,2,2,87,4,0,9,1,1
61,0,5,328,4,4,76,7,2,6,0,13,9,4,3,85,23,0,18,1,1
18,2,0,368,3,3,34,3,4,10,3,13,13,4,2,170,14,1,20,1,1
14,1,4,60,9,3,40,9,2,163,5,13,4,4,2,498,136,0,20,1,1
53,5,4,304,16,3,93,15,3,0,1,13,6,5,3,226,3,0,27,1,1
10,1,2,23,5,2,32,12,3,21,2,13,11,5,2,493,84,7,87,1,1
43,0,8,95,4,5,66,14,3,0,1,13,11,7,4,70,4,0,13,1,1
20,1,10,87,5,2,40,16,2,58,0,13,16,8,5,513,8,0,26,1,1
13,0,1,66,6,1,20,13,0,23,0,13,6,9,8,585,40,2,33,1,1
180,1,13,148,5,2,241,39,5,0,2,21,32,25,24,791,122,1,61,0,1
56,0,20,534,4,2,65,75,2,8,2,21,14,34,13,1097,44,1,292,0,1
40,0,22,83,8,5,77,62,0,1,8,21,63,35,33,939,34,5,34,0,1
60,3,3,154,6,2,106,74,0,1,0,21,10,39,12,1458,75,3,145,0,1
42,1,23,115,6,3,68,87,0,10,0,21,17,39,23,780,15,1,23,0,1
74,1,26,201,5,3,87,74,4,1,0,21,62,43,43,943,115,14,46,0,1
36,1,8,152,7,1,48,89,0,0,1,21,93,55,30,842,65,2,56,0,1
22,2,9,113,5,2,50,88,0,0,0,21,100,62,49,873,153,4,91,0,1
210,8,17,265,9,5,217,96,3,0,1,21,103,62,57,1201,104,12,66,0,1
45,3,41,112,5,3,98,96,0,2,1,21,95,73,62,801,390,17,61,0,1
151,2,17,135,5,1,173,50,5,0,4,21,128,76,62,1182,22,4,319,0,1
36,7,53,67,9,5,66,126,2,3,1,21,120,80,51,1535,110,0,125,0,1
142,22,160,277,5,3,185,264,0,4,4,21,159,109,106,2749,218,11,209,0,1
57,6,159,385,11,4,86,290,1,0,0,21,345,168,123,3265,115,8,191,0,1
32,6,486,29,4,2,158,2069,3,3,3,268,1197,739,607,65162,519,13,3907,0,1
83,1,8,112,9,4,203,9,2,1,0,13,4,2,2,95,19,0,36,0,1
460,146,13,1078,15,5,578,14,0,0,1,13,7,5,3,366,11,0,58,0,1
42,1,2,151,4,2,53,8,6,30,3,13,7,5,5,773,21,0,17,0,1
68,3,7,191,6,5,149,12,0,0,0,13,14,7,4,125,2,0,29,0,1
56,0,17,441,5,5,105,23,0,0,3,13,6,8,3,596,28,2,51,0,1
374,4,5,1105,10,1,396,21,4,0,12,13,20,9,9,169,5,0,23,0,1
41,0,7,126,4,2,110,22,1,0,2,13,17,9,1,343,14,1,37,0,1
252,4,11,166,7,5,436,31,0,3,1,13,6,10,10,436,361,4,8,0,1
41,0,6,37,6,2,75,46,1,0,0,21,54,23,14,1152,25,5,95,1,1
77,1,14,882,6,3,82,33,10,0,1,21,83,32,27,491,206,17,41,1,1
31,0,3,152,4,2,40,32,0,11,5,21,41,32,32,774,79,7,103,1,1
132,2,23,610,5,3,146,49,1,4,0,21,49,32,27,730,23,3,121,1,1
203,15,22,108,6,2,287,69,5,1,0,21,135,36,32,641,97,3,67,1,1
32,0,12,76,6,2,49,64,0,1,3,21,59,40,37,1101,227,1,31,1,1
27,9,17,23,10,2,72,52,3,4,3,21,80,46,39,746,110,4,115,1,1
41,0,59,41,3,3,76,147,0,0,2,21,50,89,82,1901,4,8,59,1,1
251,3,118,522,10,2,349,250,2,3,3,21,205,159,158,2809,61,2,233,1,1
281,7,3518,1166,9,4,306,8823,0,1,1,268,10558,3600,3559,105199,1065,688,5999,1,1
28,0,0,213,8,3,32,3,10,0,1,13,26,1,1,56,8,0,24,1,1
107,6,4,121,6,2,185,5,2,6,2,13,4,2,1,257,8,1,12,1,1
26,2,3,170,10,2,47,8,0,13,3,13,9,4,4,357,51,0,28,1,1
127,11,7,192,4,5,193,12,7,0,2,13,16,4,4,174,118,2,18,1,1
58,0,1,90,3,1,88,8,0,3,2,13,9,7,5,163,120,6,140,1,1
34,0,4,631,8,3,54,12,0,1,0,5,7,8,6,64,20,0,24,0,0
320,23,187,341,5,3,449,715,0,2,0,37,1184,467,429,7132,110,24,691,0,0
209,3,0,286,8,3,312,7,0,1,0,16,2,7,7,531,57,0,23,0,0
60,12,70,49,8,4,126,265,0,3,0,50,198,132,35,3634,586,5,204,0,0
23,3,11,570,10,2,28,16,0,1,0,8,44,34,30,119,17,0,32,0,0
31,4,1,31,5,2,50,16,0,4,0,82,119,21,14,1107,102,0,124,0,0
79,2,17,109,4,1,91,74,0,0,0,26,60,35,33,821,649,6,211,1,0
66,1,93,95,5,2,184,498,0,0,0,298,1626,293,224,6427,1046,49,2671,0,0
12,10,2,119,9,5,37,32,0,0,0,9,57,59,29,257,2,1,40,1,0
79,3,7,338,4,3,97,63,0,1,0,15,50,71,51,544,18,4,50,0,0
68,1,334,142,5,2,121,823,0,0,0,159,752,348,333,17498,2840,67,1334,1,0
16,0,0,148,6,4,36,3,1,100,0,2,2,5,3,41,66,0,3,0,0
12,3,46,1539,5,2,19,321,1,0,0,50,372,221,172,3714,164,24,191,0,0
54,1,17,406,6,2,71,114,1,0,0,27,98,76,76,1311,56,7,78,0,0
11,0,0,647,5,3,20,1,1,10,0,2,1,3,1,38,0,0,5,0,0
80,0,0,208,7,4,82,8,1,0,0,16,31,9,6,331,47,0,58,1,0
10,2,808,52,10,2,14,4519,1,23,0,720,1281,1634,1233,140887,895,255,16398,1,0
33,0,2,115,9,4,53,109,1,38,0,85,526,62,55,5045,597,405,843,0,0
68,6,3,335,6,3,89,8,1,0,0,4,24,16,11,175,0,0,9,0,0
59,10,2013,569,13,3,84,6794,1,0,0,105,4623,3707,2972,72590,976,19,8633,1,0
21,0,1,115,3,3,27,13,2,2,0,8,34,20,14,120,5,3,27,0,0
83,0,24,61,3,3,197,120,2,1,0,46,239,58,52,1642,1394,24,275,1,0
97,6,80,245,7,3,120,208,2,0,0,64,414,126,106,3182,2428,28,314,0,0
7,0,5838,96,5,2,18,26382,2,18,0,2247,17677,12325,8548,558334,1739,73,61452,0,0
39,1,35,149,5,2,42,161,2,19,0,50,132,125,95,1890,26,12,408,0,0
60,6,0,21,8,2,184,3,2,0,0,6,1,2,2,11,0,0,15,1,0
21,1,0,312,9,3,36,13,3,4,0,46,22,15,7,1575,248,6,131,1,0
115,5,312,123,16,5,180,1307,3,0,0,124,852,635,345,17240,320,9,1602,1,0
27,1,63,327,6,2,41,169,3,1,0,46,230,170,124,4266,88,35,915,1,0
18,2,2249,134,5,2,32,7646,3,9,0,611,6586,3457,1743,121140,1346,3161,15552,0,0
93,2,78,259,6,2,148,563,4,8,0,68,391,231,130,9109,412,85,950,1,0
133,3,0,238,5,2,156,12,4,0,0,4,1,7,3,104,1,0,4,0,0
54,1,122,218,5,1,69,453,5,0,0,30,481,247,180,5348,103,13,250,0,0
72,0,68,216,4,3,83,250,9,0,0,84,327,191,141,2974,1811,9,438,1,0
74,8,51,117,7,4,127,113,0,1,1,43,79,57,47,1260,159,0,279,0,0
72,2,36,161,6,4,129,136,0,1,1,105,699,80,43,5154,461,171,541,1,0
15,0,0,87,5,3,29,93,0,4,1,99,231,57,32,2155,296,59,407,0,0
9,0,3,282,3,1,18,450,0,9,1,478,1292,296,247,19683,2468,80,2682,1,0
53,2,21,906,7,3,69,396,1,3,1,99,577,249,182,6565,274,13,1158,1,0
188,0,0,299,6,5,212,3,1,0,1,3,3,3,3,34,3,0,3,0,0
7,1,0,55,5,3,19,30,1,56,1,50,224,47,13,1322,131,8,247,0,0
44,2,3,52,5,3,99,28,1,2,1,6,22,54,50,233,1,0,25,1,0
18,1,0,112,8,2,28,85,1,2,1,70,170,72,61,2350,523,18,189,1,0
36,0,3,402,4,1,55,22,1,1,1,368,379,12,9,10111,155,4,889,0,0
32,0,57,60,6,1,42,193,1,0,1,28,180,120,109,2555,46,33,137,0,0
35,0,4,59,6,3,40,13,1,498,1,3,2,7,6,74,1,0,6,0,0
69,1,5,355,9,4,93,9,2,2,1,3,4,10,7,69,73,0,11,0,0
232,2,0,121,5,3,324,5,2,0,1,5,6,5,4,74,4,0,15,0,0
86,0,164,185,6,5,117,993,3,1,1,133,557,535,465,22869,1253,93,2224,1,0
7,0,5,50,7,4,21,61,3,0,1,53,86,66,45,4138,65,47,276,1,0
93,2,5,245,4,4,103,8,4,0,1,5,8,16,10,67,2,0,11,1,0
75,1,26,1123,6,4,88,129,5,0,1,22,158,186,186,1399,124,4,101,0,0
38,25,0,49,16,1,67,2,5,0,1,45,44,3,0,633,106,23,120,0,0
59,1,11,457,7,2,68,126,5,3,1,42,90,87,67,3420,95,4,720,0,0
98,17,10,468,12,3,176,144,5,1,1,71,66,116,78,4477,537,16,349,1,0
16,0,0,35,6,2,28,6,14,192,1,4,1,7,7,31,8,0,6,0,0
31,3,0,132,5,4,44,31,0,1,2,20,71,17,9,283,45,17,135,0,0
104,15,8,432,7,5,107,32,0,13,2,12,130,33,32,378,38,3,58,0,0
74,6,10,1204,6,5,138,115,0,2,2,93,89,51,20,5619,35,3,372,1,0
57,2,5,152,7,3,106,214,0,7,2,199,254,186,54,7398,397,47,1313,1,0
28,3,19,254,4,3,57,81,1,1,2,20,39,43,14,1202,55,3,169,1,0
42,3,16,127,6,2,84,91,1,1,2,55,143,71,68,9504,418,24,1576,1,0
75,12,1,277,8,2,100,17,1,44,2,44,134,24,17,531,110,3,138,0,0
54,5,0,21,5,2,90,14,1,101,2,12,4,9,4,599,8,0,60,0,0
159,26,185,248,6,3,187,2053,1,3,2,159,2791,1240,559,29047,998,864,5728,0,0
162,0,7,267,4,4,184,126,2,0,2,23,173,76,74,1297,53,11,131,0,0
58,0,16,414,5,3,64,60,2,12,2,28,54,72,68,431,33,3,108,0,0
44,1,1,247,9,4,56,4,2,8,2,14,14,7,7,128,28,0,58,1,0
53,6,0,70,5,3,87,2,2,50,2,6,10,2,0,75,7,0,16,0,0
117,24,213,174,7,5,135,917,3,0,2,271,409,503,363,43454,1212,18,2432,1,0
48,1,2,373,3,2,62,15,3,1,2,20,64,33,30,380,35,3,58,0,0
44,0,2,205,6,4,56,7,3,4,2,5,2,12,8,19,1,0,15,0,0
288,7,2,20,3,2,869,31,4,4,2,27,47,17,14,417,719,1,65,0,0
7,1,49,523,5,3,14,110,4,1,2,23,154,120,92,1390,31,34,95,0,0
48,0,4,407,6,3,64,58,9,0,2,10,90,47,42,509,19,2,46,1,0
105,2,108,246,7,3,167,341,0,0,3,51,275,224,220,6277,302,40,579,0,0
47,2,27,89,8,3,102,107,0,7,3,44,100,69,57,2166,54,13,250,1,0
7,0,9,37,5,2,10,56,1,1,3,22,24,23,17,713,122,11,32,0,0
206,11,31,63,8,3,572,97,1,4,3,18,119,52,47,1017,40,70,144,0,0
75,0,13,168,5,4,98,1168,2,1,3,226,1222,576,550,24555,590,30,2266,1,0
46,10,219,120,10,5,89,971,2,4,3,90,1494,561,365,20190,2035,189,2232,0,0
41,0,14,189,5,3,66,39,3,1,3,23,150,37,28,761,17,72,220,0,0
656,1,33,527,9,5,983,433,4,1,3,66,539,526,374,4042,1964,21,928,0,0
43,5,6,72,8,3,116,29,5,3,3,16,15,19,13,428,53,2,14,0,0
105,3,0,399,7,2,120,2,5,0,3,9,10,3,1,47,3,0,10,0,0
104,3,15,65,5,4,150,42,18,0,3,26,241,26,24,798,179,10,137,0,0
15,0,2,77,10,1,43,47,1,0,4,49,76,31,3,1469,17,0,256,1,0
29,1,0,359,5,4,50,4,1,3,4,2,4,3,1,7,0,0,9,0,0
28,0,1,86,6,2,52,8,1,0,4,17,20,5,2,136,76,0,25,0,0
46,15,42,32,6,4,171,129,2,83,4,31,57,67,18,1660,22,4,349,1,0
40,5,0,121,6,3,92,46,4,0,4,15,15,22,5,849,333,36,146,0,0
32,2,603,107,8,2,52,2680,4,1,4,301,3644,1274,872,37494,4623,1035,7184,0,0
28,3,15,41,4,3,60,701,0,0,5,290,625,352,202,45016,1526,217,2897,1,0
91,2,27,91,6,2,185,137,2,0,5,117,261,67,39,13199,613,9,689,0,0
50,1,81,527,8,5,55,337,9,2,5,66,356,167,91,4439,461,33,466,0,0
50,2,90,88,14,3,75,425,0,4,6,123,1040,264,217,6289,2700,127,1711,1,0
103,7,73,337,7,3,186,227,8,1,6,23,155,149,79,2180,18,7,174,0,0
125,0,32,294,8,4,212,136,1,1,7,41,197,111,67,2068,333,4,227,0,0
50,1,0,904,7,2,92,122,2,0,7,63,168,98,59,1587,255,9,532,1,0
44,3,28,210,9,4,78,261,1,0,8,104,354,113,99,5976,3901,656,846,1,0
201,1,0,565,4,2,219,2,0,1,0,9,9,1,1,92,0,0,26,0,1
7,0,0,80,6,5,15,5,2,1,1,9,3,1,0,33,28,0,2,0,1
